District,School,County,Enrollment,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25
St. Louis Park Public School District,Park Spanish Immersion Elementary,Hennepin,518,0,0,0,0,0,0,0,0
Wayzata Public School District,The Alternative Program (TAP),Hennepin,176,0,0,0,0,0,0,0,0
Wayzata Public School District,Wayzata High,Hennepin,3502,19,28,32,36,45,54,63,67
Wayzata Public School District,Wayzata West Middle,Hennepin,720,0,0,0,0,0,0,0,0
Wayzata Public School District,Wayzata East Middle,Hennepin,651,0,0,0,4,8,12,21,25
Wayzata Public School District,Wayzata Central Middle,Hennepin,1363,0,0,4,8,27,36,40,44
Wayzata Public School District,North Woods Elementary School,Hennepin,600,0,0,9,18,27,36,45,49
Wayzata Public School District,Meadow Ridge Elementary School,Hennepin,765,9,38,42,46,55,59,63,67
Wayzata Public School District,Birchview Elementary,Hennepin,413,0,0,0,0,0,0,0,0
Wayzata Public School District,Greenwood Elementary,Hennepin,721,4,8,27,36,45,49,58,62
Wayzata Public School District,Oakwood Elementary,Hennepin,458,0,0,0,0,0,0,0,0
Wayzata Public School District,Sunset Hill Elementary,Hennepin,618,0,0,4,8,37,46,50,54
Wayzata Public School District,Early Childhood Special Education,Hennepin,143,0,0,0,0,0,0,0,0
Wayzata Public School District,Plymouth Creek Elementary,Hennepin,624,0,0,0,4,13,22,26,30
Wayzata Public School District,Gleason Lake Elementary,Hennepin,600,0,0,0,0,0,0,0,0
Wayzata Public School District,Kimberly Lane Elementary,Hennepin,571,0,0,0,0,0,0,0,0
Brooklyn Center School District,Brooklyn Center Middle School,Hennepin,368,0,0,4,8,17,26,30,30
Brooklyn Center School District,Brooklyn Center High School,Hennepin,528,0,0,0,0,0,0,0,0
Brooklyn Center School District,Insight School of Minnesota,Hennepin,496,0,0,0,0,0,0,0,0
Brooklyn Center School District,Brooklyn Center Elementary School,Hennepin,848,4,8,8,8,12,12,12,12
Brooklyn Center School District,Brooklyn Center Early College Academy,Hennepin,63,0,0,0,0,0,0,0,0
Intermediate School District 287,Tier Two,Hennepin,278,0,0,0,0,0,0,0,0
Intermediate School District 287,Tier Three,Hennepin,194,0,0,0,0,0,0,0,0
Intermediate School District 287,South Education Center Academy,Hennepin,71,0,0,0,0,0,0,0,0
Intermediate School District 287,North Education Center Academy,Hennepin,52,0,0,0,0,0,0,0,0
Intermediate School District 287,West Education Center Alternative,Hennepin,82,0,0,0,0,0,0,0,0
Intermediate School District 287,Hennepin Gateway To College,Hennepin,64,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro Level 4 Programs,Scott,164,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro ALC,Carver,87,0,0,0,0,0,0,0,0
Houston Public School District,Houston Elementary,Houston,225,0,0,0,0,4,8,12,21
Houston Public School District,Minnesota Virtual Academy,Houston,2231,0,0,0,0,0,0,0,0
Houston Public School District,Houston Secondary,Houston,212,9,13,13,17,21,25,34,38
Spring Grove School District,Spring Grove Elementary,Houston,183,0,0,0,0,0,0,0,0
Spring Grove School District,Spring Grove Secondary,Houston,175,19,23,23,23,23,23,23,23
Caledonia Public School District,Caledonia Elementary,Houston,266,9,13,13,13,13,13,13,13
Caledonia Public School District,Caledonia Middle,Houston,179,0,0,0,0,0,0,0,0
Caledonia Public School District,Caledonia Senior High,Houston,282,0,0,0,0,0,0,0,0
La Crescent-Hokah School District,La Crescent-Hokah Elementary,Houston,361,0,0,4,8,17,21,25,34
La Crescent-Hokah School District,La Crescent Senior High,Houston,393,0,0,0,0,0,0,0,0
La Crescent-Hokah School District,LA CRESCENT-HOKAH MIDDLE SCHOOL,Houston,326,0,0,0,0,0,0,0,0
Laporte Public School District,Laporte Elementary,Hubbard,175,0,0,0,0,0,0,0,0
Laporte Public School District,Laporte Secondary,Hubbard,89,0,0,0,0,0,0,0,0
Laporte Public School District,Laporte Middle School,Hubbard,88,0,0,0,0,0,0,0,0
Nevis Public School District,Nevis Elementary,Hubbard,325,9,18,22,31,35,39,43,43
Nevis Public School District,Nevis Secondary,Hubbard,274,0,0,9,18,22,26,30,30
Park Rapids Public School District,Frank White Education Center,Hubbard,74,0,0,0,0,0,0,0,0
Park Rapids Public School District,Park Rapids Area Century Elementary,Hubbard,620,9,18,27,31,35,44,48,52
Park Rapids Public School District,Park Rapids Senior High,Hubbard,458,4,23,32,36,40,40,40,40
Park Rapids Public School District,Park Rapids Area Century Middle,Hubbard,504,0,0,9,13,22,26,30,34
Braham Public School District,Braham Area Secondary,Isanti,338,0,0,0,0,0,0,0,0
Braham Public School District,Braham Elementary,Isanti,409,0,0,0,4,8,17,21,25
Greenway Public School District,Vandyke Elementary,Itasca,428,0,0,4,8,27,31,35,39
Greenway Public School District,Greenway Middle,Itasca,320,0,0,0,0,0,0,0,0
Greenway Public School District,Greenway Senior High,Itasca,292,0,0,4,8,17,21,25,29
Deer River Public School District,Deer River Secondary,Itasca,448,0,0,9,13,17,17,17,17
Deer River Public School District,King Elementary,Itasca,456,0,0,0,0,0,0,0,0
Grand Rapids Public School District,Grand Rapids Early Childhood Center,Itasca,95,0,0,0,0,0,0,0,0
Grand Rapids Public School District,Cohasset Elementary,Itasca,261,4,8,17,21,30,34,38,42
Grand Rapids Public School District,Bigfork Elementary,Itasca,151,9,13,13,13,13,13,13,13
Grand Rapids Public School District,East Rapids Elementary,Itasca,591,0,0,9,18,37,41,45,49
Grand Rapids Public School District,West Rapids Elementary,Itasca,562,0,0,9,18,22,31,35,39
Grand Rapids Public School District,Bigfork Secondary,Itasca,128,19,28,28,28,32,32,32,32
Grand Rapids Public School District,Grand Rapids Senior High,Itasca,1142,4,23,32,41,70,79,88,92
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,Itasca,106,0,0,0,0,0,0,0,0
Grand Rapids Public School District,Robert J. Elkington Middle School,Itasca,788,4,23,42,51,70,74,78,82
Grand Rapids Public School District,Middle Area Learning Center,Itasca,101,0,0,0,0,0,0,0,0
Nashwauk-Keewatin School District,Keewatin-Nashwauk Elementary School,Itasca,316,4,13,17,21,40,44,48,52
Nashwauk-Keewatin School District,Nashwauk Secondary,Itasca,277,4,13,22,26,35,39,43,47
Heron Lake-Okabena School District,Heron Lake-Okabena Elementary,Jackson,136,0,0,0,0,0,0,0,0
Heron Lake-Okabena School District,Heron Lake-Okabena Secondary,Jackson,184,4,13,13,13,17,17,17,17
Mora Public School District,Mora Elementary School,Kanabec,799,0,0,4,8,27,56,65,69
Mora Public School District,Mora Secondary,Kanabec,712,4,23,42,46,55,64,73,77
Mora Public School District,MORA ALTERNATIVE LEARNING CENTER,Kanabec,53,0,0,0,0,0,0,0,0
Ogilvie Public School District,Ogilvie Elementary,Kanabec,216,0,0,4,8,17,26,30,34
Ogilvie Public School District,Ogilvie Secondary,Kanabec,268,0,0,9,13,22,26,30,34
New London-Spicer School District,Prairie Woods Elementary,Kandiyohi,553,4,23,32,41,45,49,53,53
New London-Spicer School District,New London-Spicer Middle,Kandiyohi,485,0,0,0,0,0,0,0,0
New London-Spicer School District,New London-Spicer Sr.,Kandiyohi,448,0,0,0,0,0,0,0,0
Willmar Public School District,Roosevelt Elementary,Kandiyohi,599,4,13,22,41,60,64,68,72
Willmar Public School District,Kennedy Elementary,Kandiyohi,737,4,33,62,71,80,84,88,92
Willmar Public School District,Lakeland Elementary School,Kandiyohi,559,0,0,19,28,37,46,50,54
Willmar Public School District,Willmar Senior High,Kandiyohi,1296,9,38,67,86,105,124,128,137
Willmar Public School District,Willmar Middle School,Kandiyohi,904,4,13,32,51,70,89,98,102
Willmar Public School District,Willmar Area Learning Center,Kandiyohi,96,0,0,4,13,22,26,30,34
Lancaster Public School District,Lancaster Elementary,Kittson,115,0,0,0,0,0,0,0,0
Lancaster Public School District,Lancaster Secondary,Kittson,77,0,0,0,0,0,0,0,0
International Falls School District,Falls Secondary,Koochiching,526,9,13,17,26,45,54,58,62
International Falls School District,Falls Elementary,Koochiching,407,19,23,27,31,40,49,58,62
Littlefork-Big Falls School Dist.,Littlefork-Big Falls Elementary,Koochiching,152,19,28,28,28,32,36,40,49
Littlefork-Big Falls School Dist.,Littlefork-Big Falls Secondary,Koochiching,148,4,13,13,13,17,17,17,17
South Koochiching School District,Indus Secondary,Koochiching,51,0,0,0,0,0,0,0,0
South Koochiching School District,Northome Secondary,Koochiching,78,0,0,0,0,0,0,0,0
South Koochiching School District,Northome Elementary,Koochiching,115,4,13,13,13,17,17,17,17
South Koochiching School District,Indus Elementary,Koochiching,52,0,0,0,0,0,0,0,0
Dawson-Boyd Public School District,Stevens Elementary,Lac qui Parle,287,0,0,4,13,17,26,30,34
Dawson-Boyd Public School District,Dawson-Boyd Secondary,Lac qui Parle,273,4,8,17,21,25,25,25,25
Lake Superior Public School Dist.,William Kelley Elementary,Lake,162,0,0,0,0,0,0,0,0
Lake Superior Public School Dist.,Minnehaha Elementary,Lake,399,4,13,13,13,17,17,17,17
Lake Superior Public School Dist.,Wm. M. Kelley Secondary,Lake,150,0,0,0,0,0,0,0,0
Lake Superior Public School Dist.,Two Harbors Secondary,Lake,634,0,0,0,0,0,0,0,0
Lake of The Woods School District,Lake of The Woods Secondary,Lake of the Woods,211,0,0,9,13,17,17,17,17
Lake of The Woods School District,Lake of The Woods Elementary,Lake of the Woods,246,19,23,23,27,36,40,44,48
Cleveland Public School District,Cleveland Elementary,Lesueur,272,4,13,13,13,17,26,35,39
Cleveland Public School District,Cleveland Secondary,Lesueur,246,0,0,0,0,0,0,0,0
Hendricks Public School District,Hendricks Elementary,Lincoln,79,0,0,0,0,0,0,0,0
Ivanhoe Public School District,Lincoln Elementary - Ivanhoe,Lincoln,89,0,0,0,0,0,0,0,0
Lake Benton Public School District,Lake Benton Elementary,Lincoln,137,0,0,0,0,0,0,0,0
Marshall Public School District,Marshall High School,Lyon,837,9,18,18,22,26,45,49,53
Marshall Public School District,Park Side Elementary,Lyon,535,0,0,0,0,0,0,0,0
Marshall Public School District,West Side Elementary,Lyon,348,0,0,19,23,27,27,27,27
Marshall Public School District,Marshall Middle School,Lyon,726,0,0,4,8,27,31,35,39
Marshall Public School District,MATEC,Lyon,51,0,0,0,0,0,0,0,0
Marshall Public School District,Marshall Early Childhood Voluntary PreK,Lyon,95,0,0,0,0,0,0,0,0
Minneota Public School District,Minneota Elementary,Lyon,238,19,38,38,38,42,42,42,42
Minneota Public School District,Minneota Secondary,Lyon,285,19,23,23,23,23,23,23,23
Lynd Public School District,Lynd Elementary,Lyon,119,0,0,0,0,0,0,0,0
Hutchinson Public School District,Hutchinson Park Elementary,Mcleod,762,9,13,22,31,50,69,78,82
Hutchinson Public School District,Hutchinson Middle,Mcleod,596,19,23,27,36,55,64,68,72
Hutchinson Public School District,Hutchinson Senior High,Mcleod,927,9,18,27,36,55,74,78,82
Hutchinson Public School District,Hutchinson West Elementary,Mcleod,402,19,28,28,32,36,45,49,53
Lester Prairie Public School Dist.,Lester Prairie Elementary,Mcleod,242,0,0,0,0,0,0,0,0
Lester Prairie Public School Dist.,Lester Prairie Secondary,Mcleod,244,0,0,0,0,0,0,0,0
Mahnomen Public School District,Mahnomen Elementary,Mahnomen,341,0,0,0,0,0,0,0,0
Mahnomen Public School District,Mahnomen Secondary,Mahnomen,272,0,0,0,0,4,13,17,21
Waubun-Ogema-White Earth Public Sch,Waubun Elementary,Mahnomen,177,0,0,0,0,0,0,0,0
Waubun-Ogema-White Earth Public Sch,Ogema Elementary,Becker,271,0,0,0,0,0,0,0,0
Waubun-Ogema-White Earth Public Sch,Waubun Secondary,Mahnomen,221,0,0,0,0,0,0,0,0
Marshall County Central Schools,Newfolden Elementary,Marshall,133,0,0,0,0,0,0,0,0
Marshall County Central Schools,Marshall County Central High,Marshall,204,0,0,0,0,0,0,0,0
Marshall County Central Schools,Viking Elementary,Marshall,93,0,0,0,0,0,0,0,0
Grygla Public School District,Grygla Elementary,Marshall,72,0,0,0,0,0,0,0,0
Grygla Public School District,Grygla Secondary,Marshall,73,0,0,0,0,0,0,0,0
Truman Public School District,Truman Elementary,Martin,149,4,13,13,13,17,17,17,17
Truman Public School District,Truman Secondary,Martin,94,0,0,0,0,0,0,0,0
Eden Valley-Watkins School District,Eden Valley Elementary,Stearns,395,9,28,47,51,60,64,68,72
Eden Valley-Watkins School District,Eden Valley Secondary,Meeker,476,9,28,37,41,45,54,58,62
Eden Valley-Watkins School District,Watkins Elementary,Meeker,62,0,0,0,0,0,0,0,0
Litchfield Public School District,Lake Ripley Elementary,Meeker,515,4,23,23,23,27,27,27,27
Litchfield Public School District,Litchfield Middle School,Meeker,466,4,13,22,31,40,44,48,52
Litchfield Public School District,Litchfield Senior High,Meeker,462,0,0,9,13,17,17,17,17
Dassel-Cokato Public School Dist.,Cokato Elementary,Wright,380,4,13,13,13,17,17,17,17
Dassel-Cokato Public School Dist.,Dassel-Cokato Senior High,Wright,574,0,0,0,4,8,17,26,30
Dassel-Cokato Public School Dist.,Dassel Elementary,Meeker,313,4,13,13,17,21,30,34,38
Dassel-Cokato Public School Dist.,Dassel-Cokato Middle,Wright,646,0,0,4,8,17,26,30,34
Dassel-Cokato Public School Dist.,Dassel-Cokato Alternative Ctr.,Wright,92,0,0,0,0,0,0,0,0
Isle Public School District,Isle Elementary,Mille Lacs,206,0,0,0,0,0,0,0,0
Isle Public School District,Isle Secondary,Mille Lacs,189,0,0,0,0,0,0,0,0
Princeton Public School District,Princeton Primary School,Mille Lacs,656,4,13,22,31,40,59,63,67
Princeton Public School District,Princeton Intermediate School,Mille Lacs,693,4,13,22,31,60,79,83,87
Princeton Public School District,Princeton Middle School,Mille Lacs,745,19,28,32,36,65,84,88,92
Princeton Public School District,Princeton High School,Mille Lacs,911,0,0,9,28,57,66,70,74
Princeton Public School District,Princeton Online MN,Mille Lacs,97,0,0,0,0,0,0,0,0
Princeton Public School District,Early Childhood Special Education,Mille Lacs,53,0,0,0,0,0,0,0,0
Onamia Public School District,Onamia Primary School,Mille Lacs,116,0,0,0,0,0,0,0,0
Onamia Public School District,Onamia High School,Mille Lacs,104,0,0,0,0,0,0,0,0
Onamia Public School District,Onamia Intermediate School,Mille Lacs,298,0,0,0,0,0,0,0,0
Little Falls Public School District,Lincoln Elementary,Morrison,405,0,0,9,18,27,31,35,39
Little Falls Public School District,Lindbergh Elementary,Morrison,508,0,0,4,13,17,21,25,25
Little Falls Public School District,Knight Elementary,Morrison,104,0,0,9,13,17,17,17,17
Little Falls Public School District,Community Middle,Morrison,549,4,23,52,71,80,84,88,92
Little Falls Public School District,Little Falls Senior High,Morrison,745,9,28,47,66,85,89,93,97
Little Falls Public School District,LITTLE FALLS CONTINUING EDUCATION,Morrison,62,0,0,0,0,0,0,0,0
Pierz Public School District,Pioneer Elementary,Morrison,612,0,0,9,18,22,26,30,30
