District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Sauk Rapids-Rice Public Schools,Sauk Rapids-Rice Senior High,Benton,Public,1423,7680,30,40,50,55,65,75,95,100,110,130,130
Sauk Rapids-Rice Public Schools,Mississippi Heights Elementary,Benton,Public,908,63,5,15,25,35,45,55,75,80,85,95,95
Sauk Rapids-Rice Public Schools,Rice Elementary,Benton,Public,383,63,5,5,5,5,15,25,35,35,35,45,45
Sauk Rapids-Rice Public Schools,Pleasant View Elementary,Benton,Public,702,63,5,25,35,35,45,50,50,50,55,60,60
Sauk Rapids-Rice Public Schools,Sauk Rapids-Rice Middle School,Benton,Public,1013,448,20,80,100,105,110,120,125,125,135,155,155
Sauk Rapids-Rice Public Schools,Hillside Early Childhood Center,Benton,Public,46,1,0,0,0,0,0,0,0,0,0,0,0
Foley Public School District,Foley Elementary,Benton,Public,606,15,0,0,0,0,5,10,15,20,20,30,30
Foley Public School District,Foley Senior High,Benton,Public,621,7680,0,0,0,0,5,10,15,15,15,20,20
Foley Public School District,Foley Intermediate Elementary,Benton,Public,718,496,0,5,5,10,15,15,15,15,15,20,20
St. Clair Public School District,St. Clair Elementary,Blue Earth,Public,346,127,0,0,5,5,10,15,15,15,15,15,15
St. Clair Public School District,St. Clair Secondary,Blue Earth,Public,363,8064,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Kennedy Elementary,Blue Earth,Public,390,63,0,0,0,0,0,5,5,5,5,10,10
Mankato Public School District,Hoover Elementary,Nicollet,Public,506,63,0,0,0,5,15,20,25,30,35,45,45
Mankato Public School District,Jefferson Elementary,Blue Earth,Public,228,63,0,0,0,0,5,10,10,10,10,15,15
Mankato Public School District,Monroe Elementary,Nicollet,Public,460,63,0,0,10,15,15,15,15,15,15,25,25
Mankato Public School District,Roosevelt Elementary,Blue Earth,Public,353,63,0,0,0,0,5,5,5,5,10,15,15
Mankato Public School District,Bridges Community Elementary,Nicollet,Public,221,63,0,0,0,0,0,5,5,5,5,10,10
Mankato Public School District,Rosa Parks Elementary,Blue Earth,Public,462,63,0,0,0,0,5,10,15,15,25,35,35
Mankato Public School District,Washington Elementary,Blue Earth,Public,422,63,0,0,5,5,15,15,15,15,20,30,30
Mankato Public School District,Franklin Elementary,Blue Earth,Public,411,63,0,0,0,0,5,5,5,5,5,15,15
Mankato Public School District,Mankato West Senior High,Blue Earth,Public,1243,7680,5,5,5,10,20,25,45,45,45,65,65
Mankato Public School District,Eagle Lake Elementary,Blue Earth,Public,381,63,0,0,0,0,5,5,5,5,5,15,15
Mankato Public School District,Mankato East Senior High,Blue Earth,Public,1205,7680,5,10,15,15,20,30,40,45,55,85,85
Mankato Public School District,Special Education,Blue Earth,Public,244,4099,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Dakota Meadows Middle School,Nicollet,Public,933,448,0,0,0,5,10,15,20,20,25,65,65
Mankato Public School District,Prairie Winds Middle School,Blue Earth,Public,1090,448,0,0,0,10,15,20,30,30,35,45,45
Mankato Public School District,Central High Area Learning Center,Blue Earth,Public,84,7168,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Central Middle School ALC,Blue Earth,Public,2,256,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Central Freedom School,Blue Earth,Public,6,7680,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Futures Program,Nicollet,Public,41,8188,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Prairie Care Mankato,Blue Earth,Public,11,7068,0,0,0,0,0,0,0,0,0,0,0
Comfrey Public School District,Comfrey Elementary,Brown,Public,57,127,0,0,0,0,0,0,0,0,0,0,0
Comfrey Public School District,Comfrey Secondary,Brown,Public,79,8064,0,0,0,0,0,0,0,0,0,0,0
Sleepy Eye Public School District,Sleepy Eye Elementary,Brown,Public,323,127,0,5,5,5,5,5,5,5,5,5,5
Sleepy Eye Public School District,Sleepy Eye Sec.,Brown,Public,253,8064,0,0,0,0,0,0,0,0,0,5,5
Springfield Public School District,Springfield Secondary,Brown,Public,271,8064,0,5,5,5,5,5,5,5,5,5,5
Springfield Public School District,Springfield Elementary,Brown,Public,298,127,0,0,0,0,0,0,0,0,0,0,0
New Ulm Public School District,Jefferson Elementary,Brown,Public,602,30,0,10,20,25,25,30,30,30,30,30,30
New Ulm Public School District,Washington Elementary,Brown,Public,188,1,0,0,0,0,0,0,0,0,0,0,0
New Ulm Public School District,NEW ULM MIDDLE SCHOOL,Brown,Public,663,480,0,5,15,25,35,35,35,35,35,35,35
New Ulm Public School District,New Ulm High School,Brown,Public,646,7680,5,5,15,15,15,15,15,15,15,15,15
Barnum Public School District,Barnum Elementary,Carlton,Public,351,127,0,5,5,5,5,5,5,5,5,5,5
Barnum Public School District,Barnum Secondary,Carlton,Public,361,8064,0,5,5,10,15,15,15,15,15,15,15
Carlton Public School District,Carlton Secondary,Carlton,Public,200,8128,0,0,0,0,0,0,0,0,0,0,0
Carlton Public School District,South Terrace Elementary,Carlton,Public,195,63,0,0,0,0,0,0,0,0,0,0,0
Carlton Public School District,Mash-Ka-Wisen,Carlton,Public,3,2560,0,0,0,0,0,0,0,0,0,0,0
Cloquet Public School District,Churchill Elementary,Carlton,Public,387,31,0,0,0,0,5,10,10,10,10,10,10
Cloquet Public School District,CLOQUET AREA ALT. ED. PROGRAMS,Carlton,Public,78,8000,0,0,0,0,0,0,0,0,0,0,0
Cloquet Public School District,Washington Elementary,Carlton,Public,495,31,0,0,0,0,0,0,0,0,0,5,5
Cloquet Public School District,Cloquet Early Childhood Education,Carlton,Public,66,1,0,0,0,0,0,0,0,0,0,0,0
Cloquet Public School District,Shared Time,Carlton,Public,1,4,0,0,0,0,0,0,0,0,0,0,0
Cloquet Public School District,CAAEP Extended Day Program,Carlton,Public,2,4096,0,0,0,0,0,0,0,0,0,0,0
Cloquet Public School District,Cloquet Middle,Carlton,Public,840,480,0,0,5,5,5,5,5,5,5,10,10
Cloquet Public School District,Cloquet Senior,Carlton,Public,765,7680,0,0,0,0,0,5,10,10,10,15,15
Cromwell-Wright Public Schools,Cromwell-Wright Elementary,Carlton,Public,136,127,0,0,0,0,0,0,0,0,0,0,0
Cromwell-Wright Public Schools,Cromwell-Wright Secondary,Carlton,Public,165,8064,0,0,0,5,5,5,5,5,5,5,5
Moose Lake Public School District,Moose Lake Secondary,Carlton,Public,270,8064,0,0,0,0,0,0,0,0,0,0,0
Moose Lake Public School District,Moose Lake Elementary,Carlton,Public,307,127,0,0,0,0,5,15,15,15,15,15,15
Esko Public School District,Lincoln Secondary,Carlton,Public,602,8064,0,5,5,5,5,10,15,15,15,20,20
Esko Public School District,Winterquist Elementary,Carlton,Public,666,127,0,5,10,10,15,25,30,30,30,35,35
Wrenshall Public School District,Wrenshall Elementary,Carlton,Public,186,127,0,0,0,0,0,0,0,0,0,0,0
Wrenshall Public School District,Wrenshall Secondary,Carlton,Public,178,8064,0,0,0,0,0,0,0,0,0,0,0
Central Public School District,Central Senior High,Carver,Public,345,7680,0,5,5,5,5,5,5,5,5,5,5
Central Public School District,Central Middle,Carver,Public,214,448,0,0,0,0,0,0,0,0,0,0,0
Central Public School District,Central Elementary,Carver,Public,380,63,0,5,5,5,10,10,10,10,10,10,10
Waconia Public School District,Southview Elementary,Carver,Public,657,63,5,5,10,10,10,15,20,20,20,25,25
Waconia Public School District,Early Childhood Special Education,Carver,Public,62,1,0,0,0,0,0,0,0,0,0,0,0
Waconia Public School District,Bayview Elementary,Carver,Public,537,63,10,10,15,15,20,20,25,30,30,35,35
Waconia Public School District,Laketown Elementary,Carver,Public,506,63,0,0,0,5,25,30,30,30,30,35,35
Waconia Public School District,Waconia Middle School,Carver,Public,933,448,5,15,25,30,35,40,40,40,45,55,55
Waconia Public School District,Waconia High School,Carver,Public,1310,7680,0,5,10,15,20,30,35,35,45,55,55
Waconia Public School District,Transitions 110,Carver,Public,5,4096,0,0,0,0,0,0,0,0,0,0,0
Waconia Public School District,Waconia Learning Center,Carver,Public,40,7168,0,0,0,0,0,0,0,0,0,0,0
Watertown-Mayer Public School District,Watertown-Mayer Community Learning Center,Carver,Public,26,1,0,0,0,0,0,0,0,0,0,0,0
Watertown-Mayer Public School District,Watertown-Mayer Elementary School,Carver,Public,509,31,5,10,15,20,25,35,35,35,35,40,40
Watertown-Mayer Public School District,Watertown-Mayer Middle,Carver,Public,477,480,0,5,10,10,15,20,20,20,20,20,20
Watertown-Mayer Public School District,Watertown Mayer High,Carver,Public,472,7680,0,10,15,15,15,15,20,20,20,20,20
Watertown-Mayer Public School District,WM - Connections,Carver,Public,1,512,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,Chaska High School,Carver,Public,1560,7680,0,0,5,5,15,25,30,30,35,45,45
Eastern Carver County Public Schools,Chaska Middle School East,Carver,Public,564,448,0,0,0,0,5,10,15,20,25,30,30
Eastern Carver County Public Schools,Chaska Middle School West,Carver,Public,779,448,5,5,15,20,30,35,40,40,50,60,60
Eastern Carver County Public Schools,Pioneer Ridge Middle School,Carver,Public,491,448,0,5,15,20,30,40,45,45,50,60,60
Eastern Carver County Public Schools,Chanhassen High School,Carver,Public,1476,7680,5,5,5,5,15,25,35,35,45,55,55
Eastern Carver County Public Schools,INTEGRATED ARTS ACADEMY,Carver,Public,65,7680,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,112 ALC Middle School,Carver,Public,227,448,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,112 ALC Independent Study,Carver,Public,34,6144,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,Steps Toward Adult Responsibility,Carver,Public,25,4096,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,La Academia,Carver,Public,450,63,0,0,0,0,0,5,5,5,10,15,15
Eastern Carver County Public Schools,Carver Elementary School,Carver,Public,706,63,0,0,5,10,20,20,25,30,35,45,45
Eastern Carver County Public Schools,Chanhassen Elementary,Carver,Public,446,63,0,5,5,5,10,20,20,20,20,20,20
Eastern Carver County Public Schools,East Union Elementary,Carver,Public,112,63,0,0,0,0,0,5,10,10,10,10,10
Eastern Carver County Public Schools,Early Childhood Special Education,Carver,Public,131,1,0,0,0,0,0,0,0,0,0,5,5
Eastern Carver County Public Schools,Kinder Academy,Carver,Public,48,1,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public Schools,Bluff Creek Elementary,Carver,Public,537,63,0,0,0,0,10,15,20,20,25,30,30
Eastern Carver County Public Schools,Clover Ridge Elementary,Carver,Public,584,63,0,0,0,0,5,10,15,15,15,20,20
Eastern Carver County Public Schools,Victoria Elementary,Carver,Public,659,63,0,0,0,0,10,20,25,25,30,40,40
Eastern Carver County Public Schools,Jonathan Elementary,Carver,Public,587,63,0,0,0,0,5,10,10,15,20,25,25
Eastern Carver County Public Schools,The Anicca Program,Carver,Public,4,7168,0,0,0,0,0,0,0,0,0,0,0
Walker-Hackensack-Akeley School District,W.H.A. Elementary,Cass,Public,412,127,0,5,5,5,15,20,25,25,25,25,25
Walker-Hackensack-Akeley School District,Walker-Hackensack-Akeley Sec.,Cass,Public,325,8064,0,5,5,5,10,15,15,15,15,20,20
Walker-Hackensack-Akeley School District,W. H. A. Alternative Program,Cass,Public,3,4096,0,0,0,0,0,0,0,0,0,0,0
Cass Lake-Bena Public Schools,Cass Lake-Bena Elementary,Cass,Public,429,31,0,5,10,10,10,10,10,10,15,15,15
Cass Lake-Bena Public Schools,Cass Lake-Bena Middle School,Cass,Public,335,480,0,0,0,0,0,0,0,0,0,5,5
Cass Lake-Bena Public Schools,Cass Lake-Bena Secondary,Cass,Public,265,7680,0,0,0,0,0,0,0,0,0,0,0
Cass Lake-Bena Public Schools,Cass Lake-Bena Area Lrng. Cntr.,Cass,Public,78,7936,0,0,0,0,0,0,0,0,0,0,0
Pillager Public School District,Pillager Elementary,Cass,Public,439,31,0,10,15,20,20,20,25,25,25,25,25
Pillager Public School District,Pillager Senior High School,Cass,Public,340,7680,0,10,15,15,15,15,15,15,15,20,20
Pillager Public School District,Pillager Middle School,Cass,Public,355,480,0,10,15,20,20,20,20,20,20,20,20
Northland Community Schools,Northland Elementary,Cass,Public,194,127,0,0,0,0,0,0,0,0,0,0,0
Northland Community Schools,Northland Secondary,Cass,Public,131,8064,0,0,5,5,5,5,5,5,5,5,5
Northland Community Schools,Little Sand,Cass,Public,15,8064,0,0,0,0,0,0,0,0,0,0,0
Montevideo Public School District,Ramsey Elementary,Chippewa,Public,284,14,0,0,0,0,0,0,5,5,5,5,5
Montevideo Public School District,Sanford Education Center,Chippewa,Public,150,1,0,0,0,0,0,0,0,0,0,0,0
Montevideo Public School District,Montevideo Middle,Chippewa,Public,435,240,5,10,10,10,10,10,10,10,10,10,10
Montevideo Public School District,Montevideo Senior High,Chippewa,Public,502,7936,0,0,10,10,10,10,10,10,10,10,10
North Branch Public Schools,North Branch Early Childhood,Chisago,Public,26,1,0,0,0,0,0,0,0,0,0,0,0
North Branch Public Schools,North Branch Middle,Chisago,Public,452,448,0,20,25,25,25,25,25,25,25,30,30
North Branch Public Schools,North Branch Senior High,Chisago,Public,671,7680,5,15,20,20,20,20,20,20,20,25,25
North Branch Public Schools,NORTH BRANCH AREA EDUCATION CENTER,Chisago,Public,132,1,0,0,0,0,0,0,0,0,0,0,0
North Branch Public Schools,Sunrise River Elementary,Chisago,Public,730,62,0,10,15,20,25,25,30,30,30,35,35
North Branch Public Schools,North Branch Lab School ALC,Chisago,Public,30,6144,0,0,0,0,0,0,0,0,0,0,0
North Branch Public Schools,Distance Learning Program,Chisago,Public,498,8191,0,0,0,0,0,0,0,0,0,0,0
Rush City Public School District,C.E. Jacobson Elementary,Chisago,Public,479,127,0,0,10,10,15,20,25,25,25,25,25
Rush City Public School District,Rush City Secondary,Chisago,Public,399,8064,0,5,5,5,5,5,5,5,5,5,5
Barnesville Public School District,Barnesville Elementary,Clay,Public,493,127,0,5,10,15,15,20,30,30,30,40,40
Barnesville Public School District,Barnesville Secondary,Clay,Public,405,8064,0,0,0,0,0,0,0,0,0,5,5
Hawley Public School District,Hawley Elementary,Clay,Public,553,127,0,0,0,0,5,15,15,15,15,20,20
Hawley Public School District,Spring Prairie Elementary,Clay,Public,16,127,0,0,0,0,0,0,0,0,0,0,0
Hawley Public School District,Hawley Secondary,Clay,Public,431,8064,0,0,0,0,5,15,15,15,15,15,15
Moorhead Public School District,Probstfield Center For Education,Clay,Public,224,1,0,0,0,0,0,0,0,0,0,0,0
Moorhead Public School District,Dorothy Dodds Elementary School,Clay,Public,716,31,0,0,0,0,5,5,5,5,5,10,10
Moorhead Public School District,Robert Asp Elementary,Clay,Public,638,31,5,10,10,10,20,25,25,35,35,40,40
Moorhead Public School District,Ellen Hopkins Elementary,Clay,Public,610,31,0,0,0,0,5,5,5,5,5,10,10
Moorhead Public School District,S.G.Reinertsen Elementary,Clay,Public,725,31,0,0,0,5,10,10,15,15,15,20,20
Moorhead Public School District,Horizon Middle School,Clay,Public,2189,480,10,20,40,50,60,80,100,105,110,115,115
Moorhead Public School District,Moorhead High School,Clay,Public,1890,7680,5,10,20,20,25,30,40,45,45,45,45
Moorhead Public School District,West Central Academy-S,Clay,Public,31,8128,0,0,0,0,0,0,0,0,0,0,0
Moorhead Public School District,West Central Academy-N,Clay,Public,17,7744,0,0,0,0,0,0,0,0,0,0,0
Moorhead Public School District,Red River Area Learning Center,Clay,Public,99,7936,0,0,0,0,0,0,0,0,0,0,0
Moorhead Public School District,Clay County Outreach Center,Clay,Public,4,2560,0,0,0,0,0,0,0,0,0,0,0
Minnesota State Academies,MN Academy For The Blind,Rice,Public,47,8184,0,0,0,0,0,0,0,0,0,0,0
Minnesota State Academies,MN Academy For The Deaf,Rice,Public,97,8191,0,0,0,0,0,0,0,0,0,0,0
Bagley Public School District,Bagley Elementary,Clearwater,Public,514,127,10,40,45,45,45,45,45,45,45,50,50
Bagley Public School District,Bagley Secondary,Clearwater,Public,420,8064,5,35,40,40,40,40,40,40,40,40,40
Bagley Public School District,Bagley ALP,Clearwater,Public,2,4096,0,0,0,0,0,0,0,0,0,0,0
Cook County Public Schools,Cook County Middle,Cook,Public,98,448,0,0,0,0,0,0,0,0,0,0,0
Cook County Public Schools,Cook County Senior High,Cook,Public,166,7680,0,0,0,0,5,5,5,5,5,5,5
Cook County Public Schools,Sawtooth Mountain Elementary,Cook,Public,133,63,0,0,0,0,0,0,0,0,0,0,0
Mountain Lake Public Schools,Mountain Lake Elementary,Cottonwood,Public,257,127,0,0,5,5,5,5,5,5,5,5,5
Mountain Lake Public Schools,Mountain Lake Secondary,Cottonwood,Public,248,8064,0,0,0,0,0,0,0,0,0,0,0
Windom Public School District,Early Childhood Learning Center,Cottonwood,Public,14,1,0,0,0,0,0,0,0,0,0,0,0
Windom Public School District,Windom Senior High,Cottonwood,Public,319,7680,0,0,0,0,0,0,0,0,0,0,0
Windom Public School District,Windom Middle,Cottonwood,Public,242,448,0,0,0,0,0,0,0,0,0,0,0
Windom Public School District,Windom Area Elementary,Cottonwood,Public,529,63,0,0,0,0,5,10,10,10,10,15,15
Brainerd Public School District,Brainerd Early Childhood Sp. Ed.,Crow Wing,Public,186,1,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Baxter Elementary,Crow Wing,Public,500,31,0,5,5,5,5,5,5,5,5,5,5
Brainerd Public School District,Garfield Elementary,Crow Wing,Public,308,31,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Harrison Elementary,Crow Wing,Public,232,31,0,0,0,5,5,5,5,5,5,5,5
Brainerd Public School District,Lowell Elementary,Crow Wing,Public,373,31,0,0,0,0,0,0,0,0,0,5,5
Brainerd Public School District,Riverside Elementary,Crow Wing,Public,507,63,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Brainerd Senior High,Crow Wing,Public,1964,7680,10,20,20,20,25,30,30,30,35,35,35
Brainerd Public School District,Nisswa Elementary,Crow Wing,Public,260,31,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Lincoln Education Center,Crow Wing,Public,66,8180,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,ISD 181 Learning Center,Crow Wing,Public,112,7680,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Middle Level Alternative Program,Crow Wing,Public,17,448,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Forestview Middle,Crow Wing,Public,1895,480,5,25,35,45,50,55,60,60,60,70,70
Crosby-Ironton Public School District,Crosby-Ironton Secondary,Crow Wing,Public,462,8064,0,0,0,0,0,0,0,0,0,5,5
Crosby-Ironton Public School District,Cuyuna Range Elementary,Crow Wing,Public,526,127,0,10,10,10,10,10,10,10,10,10,10
Pequot Lakes Public Schools,Eagle View Elementary,Crow Wing,Public,570,31,10,20,20,20,20,20,20,20,20,20,20
Pequot Lakes Public Schools,Pequot Lakes Middle,Crow Wing,Public,551,480,5,10,10,10,10,10,10,10,10,10,10
Pequot Lakes Public Schools,Pequot Lakes Senior High,Crow Wing,Public,602,7680,20,30,30,30,30,30,30,30,30,30,30
Burnsville Public School District,Burnsville High School,Dakota,Public,2305,7680,5,15,20,25,35,40,40,50,70,90,90
Burnsville Public School District,Eagle Ridge Middle School,Scott,Public,415,448,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Joseph Nicollet Middle School,Dakota,Public,519,448,0,0,0,0,5,10,10,10,20,25,25
Burnsville Public School District,Burnsville Area Learning Center,Dakota,Public,734,448,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,BES Transition Program,Dakota,Public,33,4096,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Diamondhead Ready to Learn,Dakota,Public,30,1,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Early Education Program & Services,Dakota,Public,142,1,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Gideon Pond Elementary,Dakota,Public,444,63,0,0,0,0,0,5,5,5,5,10,10
Burnsville Public School District,Edward Neill Elementary,Dakota,Public,378,63,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Vista View Elementary,Dakota,Public,328,63,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,William Byrne Elementary,Dakota,Public,567,63,0,0,0,0,5,10,10,10,20,20,20
Burnsville Public School District,Rahn Elementary,Dakota,Public,359,63,0,0,0,0,0,5,5,5,10,10,10
Burnsville Public School District,Sky Oaks Elementary,Dakota,Public,458,63,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Hidden Valley Elementary,Scott,Public,491,63,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Harriet Bishop Elementary,Scott,Public,613,63,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Burnsville Alternative High School,Dakota,Public,194,7168,0,0,0,0,0,0,0,0,0,0,0
Farmington Public School District,Farmington Elementary,Dakota,Public,600,63,0,0,0,0,10,20,20,20,20,25,25
Farmington Public School District,Farmington High School,Dakota,Public,2203,7680,5,15,20,20,30,40,50,60,80,110,110
Farmington Public School District,Levi P. Dodge Middle School,Dakota,Public,802,448,0,5,10,15,25,30,30,30,40,50,50
Farmington Public School District,North Trail Elementary,Dakota,Public,608,63,0,0,0,0,5,15,15,15,15,25,25
Farmington Public School District,Dakota Prairie Area Learning Center,Dakota,Public,4,4096,0,0,0,0,0,0,0,0,0,0,0
Farmington Public School District,Robert Boeckman Middle School,Dakota,Public,891,448,0,0,0,0,5,15,15,15,25,35,35
Farmington Public School District,Meadowview Elementary,Dakota,Public,684,63,5,5,5,5,15,20,30,40,50,60,60
