MDE ID, County, Name, City, 9/18/21, 10/2/21
0593-01-090, Polk, Crookston Secondary, Crookston, 0-4, 5-9
0593-01-080, Polk, Highland Elementary, Crookston, 5-9, 0-4
0593-31-002, Polk, Our Savior's Lutheran, Crookston, 5-9, 0-4
2609-01-010, Polk, Win-E-Mac Elementary, Erskine, 0-4, 5-9
0601-01-020, Polk, Fosston Secondary, Fosston, 0-4, 10-19
0601-01-010, Polk, Magelssen Elementary, Fosston, 0-4, 10-19
2149-01-060, Pope, Minnewaska Area Intermediate School, Glenwood, 0-4, 5-9
2149-01-050, Pope, Minnewaska Secondary, Glenwood, 0-4, 10-19
0621-01-064, Ramsey, Mounds View Senior High, Arden Hills, 0-4, 5-9
0621-01-036, Ramsey, Valentine Hills Elementary, Arden Hills, 0-4, 5-9
0623-01-724, Ramsey, Falcon Heights Elementary, Falcon Heights, 0-4, 10-19
0622-31-064, Ramsey, Hill-Murray, Maplewood, 0-4, 5-9
4186-07-010, Ramsey, Global Academy, New Brighton, 0-4, 5-9
0621-01-065, Ramsey, Irondale Senior High, New Brighton, 0-4, 5-9
0622-01-057, Ramsey, North Senior High, North Saint Paul, 5-9, 5-9
0623-01-069, Ramsey, Roseville Area Senior High, Roseville, 10-19, 0-4
0625-01-527, Ramsey, Mississippi Creative Arts Elementary, Saint Paul, 0-4, 5-9
4240-07-010, Ramsey, New Century School, Saint Paul, 0-4, 5-9
0625-01-545, Ramsey, Randolph Heights Elementary, Saint Paul, 0-4, 0-4
0625-01-558, Ramsey, Saint Paul Music Academy, Saint Paul, 0-4, 5-9
0625-31-861, Ramsey, St- Agnes, Saint Paul, 0-4, 0-4
0625-01-557, Ramsey, St- Anthony Park Elementary, Saint Paul, 0-4, 5-9
4152-07-010, Ramsey, Twin Cities German Immersion Charter School, Saint Paul, 0-4, 5-9
0621-01-035, Ramsey, Turtle Lake Elementary, Shoreview, 0-4, 5-9
0624-01-833, Ramsey, Matoska International, White Bear Lake, 0-4, 5-9
0624-01-828, Ramsey, Otter Lake Elementary, White Bear Lake, 0-4, 5-9
0624-01-055, Ramsey, White Bear North Campus Senior, White Bear Lake, 5-9, 10-19
0624-01-095, Ramsey, White Bear South Campus Senior, White Bear Lake, 5-9, 10-19
2906-01-020, Red Lake, Red Lake County Central High School, Oklee, 5-9, 0-4
2906-01-011, Red Lake, Red Lake County Central Elementary, Plummer, 0-4, 10-19
2754-01-002, Redwood, Cedar Mountain Secondary, Morgan, 10-19, 0-4
2897-01-003, Redwood, Redwood Valley Middle, Redwood Falls, 10-19, 10-19
2897-01-002, Redwood, Reede Gray Elementary, Redwood Falls, 5-9, 5-9
2898-01-015, Redwood, Walnut Grove Elementary, Walnut Grove, 5-9, 5-9
0659-01-007, Rice, Bridgewater Elementary, Northfield, 0-4, 0-4
0659-01-001, Rice, Northfield Senior High, Northfield, 5-9, 0-4
2184-01-004, Rock, Luverne Senior High, Luverne, 5-9, 5-9
0682-01-010, Roseau, Roseau Elementary, Roseau, 5-9, 10-19
0690-01-010, Roseau, Warroad Elementary, Warroad, 0-4, 5-9
0690-01-030, Roseau, Warroad High School, Warroad, 0-4, 5-9
2711-01-010, Saint Louis, Mesabi East Elementary, Aurora, 5-9, 5-9
